FE,mean_best,std_best,log10_mean_best
21462,0.0,0.0,-300.0
21563,0.0,0.0,-300.0
21664,0.0,0.0,-300.0
21765,0.0,0.0,-300.0
21866,0.0,0.0,-300.0
21967,0.0,0.0,-300.0
22068,0.0,0.0,-300.0
22169,0.0,0.0,-300.0
22270,0.0,0.0,-300.0
22371,0.0,0.0,-300.0
22472,0.0,0.0,-300.0
22573,0.0,0.0,-300.0
22674,0.0,0.0,-300.0
22775,0.0,0.0,-300.0
22876,0.0,0.0,-300.0
22977,0.0,0.0,-300.0
23078,0.0,0.0,-300.0
23179,0.0,0.0,-300.0
23280,0.0,0.0,-300.0
23381,0.0,0.0,-300.0
23482,0.0,0.0,-300.0
23583,0.0,0.0,-300.0
23684,0.0,0.0,-300.0
23785,0.0,0.0,-300.0
23886,0.0,0.0,-300.0
23987,0.0,0.0,-300.0
24088,0.0,0.0,-300.0
24189,0.0,0.0,-300.0
24290,0.0,0.0,-300.0
24391,0.0,0.0,-300.0
24492,0.0,0.0,-300.0
24593,0.0,0.0,-300.0
24694,0.0,0.0,-300.0
24795,0.0,0.0,-300.0
24896,0.0,0.0,-300.0
24997,0.0,0.0,-300.0
25098,0.0,0.0,-300.0
25199,0.0,0.0,-300.0
25300,0.0,0.0,-300.0
25401,0.0,0.0,-300.0
25502,0.0,0.0,-300.0
25603,0.0,0.0,-300.0
25704,0.0,0.0,-300.0
25805,0.0,0.0,-300.0
25906,0.0,0.0,-300.0
26007,0.0,0.0,-300.0
26108,0.0,0.0,-300.0
26209,0.0,0.0,-300.0
26310,0.0,0.0,-300.0
26411,0.0,0.0,-300.0
26512,0.0,0.0,-300.0
26613,0.0,0.0,-300.0
26714,0.0,0.0,-300.0
26815,0.0,0.0,-300.0
26916,0.0,0.0,-300.0
27017,0.0,0.0,-300.0
27118,0.0,0.0,-300.0
27219,0.0,0.0,-300.0
27320,0.0,0.0,-300.0
27421,0.0,0.0,-300.0
27522,0.0,0.0,-300.0
27623,0.0,0.0,-300.0
27724,0.0,0.0,-300.0
27825,0.0,0.0,-300.0
27926,0.0,0.0,-300.0
28027,0.0,0.0,-300.0
28128,0.0,0.0,-300.0
28229,0.0,0.0,-300.0
28330,0.0,0.0,-300.0
28431,0.0,0.0,-300.0
28532,0.0,0.0,-300.0
28633,0.0,0.0,-300.0
28734,0.0,0.0,-300.0
28835,0.0,0.0,-300.0
28936,0.0,0.0,-300.0
29037,0.0,0.0,-300.0
29138,0.0,0.0,-300.0
29239,0.0,0.0,-300.0
29340,0.0,0.0,-300.0
29441,0.0,0.0,-300.0
29542,0.0,0.0,-300.0
29643,0.0,0.0,-300.0
29744,0.0,0.0,-300.0
29845,0.0,0.0,-300.0
29946,0.0,0.0,-300.0
30047,0.0,0.0,-300.0
30148,0.0,0.0,-300.0
30249,0.0,0.0,-300.0
30350,0.0,0.0,-300.0
30451,0.0,0.0,-300.0
30552,0.0,0.0,-300.0
30653,0.0,0.0,-300.0
30754,0.0,0.0,-300.0
30855,0.0,0.0,-300.0
30956,0.0,0.0,-300.0
31057,0.0,0.0,-300.0
31158,0.0,0.0,-300.0
31259,0.0,0.0,-300.0
31360,0.0,0.0,-300.0
31461,0.0,0.0,-300.0
31562,0.0,0.0,-300.0
31663,0.0,0.0,-300.0
31764,0.0,0.0,-300.0
31865,0.0,0.0,-300.0
31966,0.0,0.0,-300.0
32067,0.0,0.0,-300.0
