FE,mean_best,std_best,log10_mean_best
35501,0.0,0.0,-inf
35602,0.0,0.0,-inf
35703,0.0,0.0,-inf
35804,0.0,0.0,-inf
35905,0.0,0.0,-inf
36006,0.0,0.0,-inf
36107,0.0,0.0,-inf
36208,0.0,0.0,-inf
36309,0.0,0.0,-inf
36410,0.0,0.0,-inf
36511,0.0,0.0,-inf
36612,0.0,0.0,-inf
36713,0.0,0.0,-inf
36814,0.0,0.0,-inf
36915,0.0,0.0,-inf
37016,0.0,0.0,-inf
37117,0.0,0.0,-inf
37218,0.0,0.0,-inf
37319,0.0,0.0,-inf
37420,0.0,0.0,-inf
37521,0.0,0.0,-inf
37622,0.0,0.0,-inf
37723,0.0,0.0,-inf
37824,0.0,0.0,-inf
37925,0.0,0.0,-inf
38026,0.0,0.0,-inf
38127,0.0,0.0,-inf
38228,0.0,0.0,-inf
38329,0.0,0.0,-inf
38430,0.0,0.0,-inf
38531,0.0,0.0,-inf
38632,0.0,0.0,-inf
38733,0.0,0.0,-inf
38834,0.0,0.0,-inf
38935,0.0,0.0,-inf
39036,0.0,0.0,-inf
39137,0.0,0.0,-inf
39238,0.0,0.0,-inf
39339,0.0,0.0,-inf
39440,0.0,0.0,-inf
39541,0.0,0.0,-inf
39642,0.0,0.0,-inf
39743,0.0,0.0,-inf
39844,0.0,0.0,-inf
39945,0.0,0.0,-inf
40046,0.0,0.0,-inf
40147,0.0,0.0,-inf
40248,0.0,0.0,-inf
40349,0.0,0.0,-inf
40450,0.0,0.0,-inf
40551,0.0,0.0,-inf
40652,0.0,0.0,-inf
40753,0.0,0.0,-inf
40854,0.0,0.0,-inf
40955,0.0,0.0,-inf
41056,0.0,0.0,-inf
41157,0.0,0.0,-inf
41258,0.0,0.0,-inf
41359,0.0,0.0,-inf
41460,0.0,0.0,-inf
41561,0.0,0.0,-inf
41662,0.0,0.0,-inf
41763,0.0,0.0,-inf
41864,0.0,0.0,-inf
41965,0.0,0.0,-inf
42066,0.0,0.0,-inf
42167,0.0,0.0,-inf
42268,0.0,0.0,-inf
42369,0.0,0.0,-inf
42470,0.0,0.0,-inf
42571,0.0,0.0,-inf
42672,0.0,0.0,-inf
42773,0.0,0.0,-inf
42874,0.0,0.0,-inf
42975,0.0,0.0,-inf
43076,0.0,0.0,-inf
43177,0.0,0.0,-inf
43278,0.0,0.0,-inf
43379,0.0,0.0,-inf
43480,0.0,0.0,-inf
43581,0.0,0.0,-inf
43682,0.0,0.0,-inf
43783,0.0,0.0,-inf
43884,0.0,0.0,-inf
43985,0.0,0.0,-inf
44086,0.0,0.0,-inf
44187,0.0,0.0,-inf
44288,0.0,0.0,-inf
44389,0.0,0.0,-inf
44490,0.0,0.0,-inf
44591,0.0,0.0,-inf
44692,0.0,0.0,-inf
44793,0.0,0.0,-inf
44894,0.0,0.0,-inf
44995,0.0,0.0,-inf
45096,0.0,0.0,-inf
45197,0.0,0.0,-inf
45298,0.0,0.0,-inf
45399,0.0,0.0,-inf
45500,0.0,0.0,-inf
45601,0.0,0.0,-inf
45702,0.0,0.0,-inf
45803,0.0,0.0,-inf
45904,0.0,0.0,-inf
46005,0.0,0.0,-inf
46106,0.0,0.0,-inf
46207,0.0,0.0,-inf
46308,0.0,0.0,-inf
46409,0.0,0.0,-inf
46510,0.0,0.0,-inf
46611,0.0,0.0,-inf
46712,0.0,0.0,-inf
46813,0.0,0.0,-inf
46914,0.0,0.0,-inf
47015,0.0,0.0,-inf
47116,0.0,0.0,-inf
47217,0.0,0.0,-inf
47318,0.0,0.0,-inf
47419,0.0,0.0,-inf
47520,0.0,0.0,-inf
47621,0.0,0.0,-inf
47722,0.0,0.0,-inf
47823,0.0,0.0,-inf
47924,0.0,0.0,-inf
48025,0.0,0.0,-inf
48126,0.0,0.0,-inf
48227,0.0,0.0,-inf
48328,0.0,0.0,-inf
48429,0.0,0.0,-inf
48530,0.0,0.0,-inf
48631,0.0,0.0,-inf
48732,0.0,0.0,-inf
48833,0.0,0.0,-inf
48934,0.0,0.0,-inf
49035,0.0,0.0,-inf
49136,0.0,0.0,-inf
49237,0.0,0.0,-inf
49338,0.0,0.0,-inf
49439,0.0,0.0,-inf
49540,0.0,0.0,-inf
49641,0.0,0.0,-inf
49742,0.0,0.0,-inf
49843,0.0,0.0,-inf
49944,0.0,0.0,-inf
50045,0.0,0.0,-inf
